x,y,z
504.79487214708746,318.808664942621,b
485.66203380342347,247.15661792958002,b
479.80066617744967,216.73480460537462,b
429.5362500283119,235.71742866793983,b
443.5845700505041,215.2403471436093,b
526.7740567400324,220.75454308951907,b
444.50982829086945,203.14802392631947,b
520.2243312828283,261.80096922088137,b
473.32678819519543,212.61319323013572,b
519.218960540614,195.87934371892754,b
490.5161494144186,229.99922978198924,b
473.8596066430996,213.7176321063767,b
465.0286425773916,186.6399228574162,b
539.7608698105655,240.07382059474304,b
470.0637386275151,191.05710065718227,b
423.88872027556977,202.9589042428292,b
481.9050129433811,164.04486052301553,b
444.12973404738636,205.0991903928707,b
442.0116970333314,172.48908876742672,b
418.15305236199424,188.9926478699785,b
491.0787314440476,167.5526713732092,b
408.6097230346311,183.0579750586424,b
452.70631472890136,238.24065518371083,b
411.49896927129987,182.4542755309181,b
394.8970530768349,189.29841063138474,b
392.5713560242394,172.09654393614568,b
395.53593289683005,166.11642590370076,b
367.41540112506937,459.99016246171635,c
386.74718413093416,507.59418523869414,c
361.8072020839228,459.8654833224443,c
373.68180304870094,432.11570992367274,c
359.8463186606208,453.5541527743051,c
361.7393883827457,463.62988290702236,c
333.9887501892455,448.50498992972905,c
318.3080326564292,482.8644125172739,c
256.8027413016347,452.9296008445822,c
250.7778900578021,445.3937617872384,c
323.1811131647373,444.7864070354919,c
259.06995843198064,476.203685838495,c
234.45349825325755,472.9588477514829,c
259.3871085466832,452.39309184453214,c
309.88004991609364,422.5345803339776,c
208.62161187465057,418.1104193380601,c
225.3601322547861,449.6923762109159,c
264.89156707773327,451.23853034681883,c
219.18240457273703,427.588874499797,c
254.91828205221265,390.84602124495825,c
222.65036550840392,391.9475948942964,c
236.7136690380295,358.10102176026214,c
260.0643529158821,330.5988190983239,c
224.08109596318394,360.5624346439946,c
251.4942117253791,330.5642884068511,c
178.35567467736408,322.89871259651693,c
225.29479007054977,324.1703009279879,c
233.9682689873826,291.9954716342767,c
261.20937944033943,320.0090275133661,c
265.93647684650387,284.82535909995045,c
205.20284406682896,286.0917999869491,c
178.59432558674533,280.9219175754238,c
312.41238547712715,224.33688214515223,c
251.92876638300615,214.2994164782702,c
244.90200708785994,231.49301424867286,c
276.08631941624395,196.73646406841704,c
260.69079843132164,222.2093191067861,c
280.6390290361206,176.06102385660193,c
241.7172132597438,186.09794360333228,c
334.13283182874477,190.82965166571648,c
274.1064708969214,179.19739524572105,c
279.96178137474175,140.58537322593787,c
331.9612147508955,155.3905509987315,c
311.3342775084332,95.96221059166135,c
331.1140834087181,112.20907275674784,c
334.28215441790945,118.43176671054823,c
304.9091960352638,75.16027809607345,c
345.0150596707055,107.50927114227005,c
371.9820031737224,100.66739863667942,c
344.547401868254,46.674319127241745,c
422.331702531375,65.29245315976561,c
383.1805297421676,47.23710247254462,c
413.82164752817084,114.47804556464467,c
463.884771733037,78.49567451049938,c
461.6245941038328,57.26735647395918,c
461.93831004231004,80.09583196700993,c
523.9305673279268,16.55076793430868,c
512.3286765685912,22.99973879360539,c
482.23104369986964,59.63573832981734,c
512.9861051959989,67.30327764004414,c
526.1814671512541,62.17730590299658,c
544.7780998130833,87.4590673244872,c
583.2923774085815,103.00698336743972,c
569.9372426950159,67.81906816847089,c
569.9204487844307,62.44750972434957,c
596.265946929827,67.59339279591785,c
647.8432017126682,28.61039913652877,c
633.0752554781595,68.10876049928976,c
626.9872212127781,107.32312959457369,c
654.9849500313694,123.55335577175254,c
646.554808158965,132.16036606700112,c
677.3056794992247,104.78633614073806,c
665.0635275179773,105.96950392774215,c
653.4452158983496,169.77187434147868,c
602.8013307107049,176.1084646601662,c
605.2779770748473,199.41439782676207,c
687.0194829278239,201.40636801557469,c
698.7169145065543,217.24976240288197,c
641.3498589815482,241.75102791727682,c
623.788318513589,221.99794162145656,c
632.4652782957079,276.10614731430894,c
600.0379292714198,353.29678099676414,c
589.7583805686473,310.6875088687234,c
576.6773933198134,349.5233325973412,c
588.212730972978,351.5323983844971,c
615.223318672448,380.4862204335078,c
601.3442973877295,366.86150070454266,c
582.3814943367342,431.8807709929906,c
582.8657150778511,379.9900346821378,c
538.3772730390342,472.87114611582524,c
542.6203445598383,472.2744049226958,c
559.09021635563,493.57056179460926,c
557.5794164193561,479.55155681238534,c
580.0569718069482,446.3982847232098,c
526.1776886116986,457.7927005981712,c
514.68508188472,482.7740932783306,c
278.53346643980495,375.3533580492985,d
252.93822010751535,367.6853603580224,d
214.29487679663413,386.843438216639,d
293.673610231349,376.79849634248257,d
287.3603484445925,357.0971224249372,d
270.96453729817796,400.50668113419175,d
453.5328156850069,487.82748819699873,d
488.3617168060955,463.48509328391185,d
451.9581351042683,485.5614932592415,d
420.3772103067031,475.02552543165433,d
454.48992034825375,477.7615592933185,d
456.9545459009786,452.8519450217699,d
424.6353479088527,461.1343894664502,d
467.58114038544426,446.87678075900124,d
483.61163160531635,444.04455926113985,d
488.31198277035895,513.3790826215105,d
501.1157961289906,461.9758676513147,d
452.8118925535213,414.13368153177873,d
463.2704292554593,486.97858217272943,d
400.24738131492404,465.6031958088684,d
523.1696930300595,425.8221340549631,d
480.4026365893077,451.24613262700313,d
518.7673060760154,475.95565510147964,d
472.2114857763334,464.8689018815778,d
491.56058335799213,435.86518302162494,d
521.2185308394465,439.5522023618795,d
457.4436156632466,460.44124289988156,d
457.1402401760102,432.8627487628438,d
522.3486539604978,465.27870698293555,d
481.26674680788136,472.27958207979566,d
489.71652334220863,378.2784348217773,d
508.2653488108583,431.7039447316223,d
529.5114044465045,414.27835988933197,d
495.3817549467562,409.10592011274935,d
506.467614537024,444.41863301303044,d
507.83429736129875,390.62154789675014,d
469.26903243859135,402.2212491579069,d
546.5056301015981,443.68614137683926,d
538.4909741472364,421.8642793967213,d
508.47803112882644,414.94266078801365,d
501.92905932483274,401.6372842037571,d
504.7917325159748,476.66618878405757,d
513.1782062550652,408.9553817957488,d
476.0866428374073,439.0268354900835,d
525.5586878572012,413.20219900792455,d
575.3087166411469,407.7703646735539,d
536.5615151294193,439.5371701879469,d
524.896200102821,404.6001532084097,d
526.9107026418227,402.60162236805706,d
495.37036662719237,449.5516209548126,d
538.9742567288343,426.0663364874341,d
567.0349108945277,372.80510456306973,d
338.55884371303307,210.50101081323152,d
316.97606084673976,209.61857775955758,d
338.18593973666145,185.4278006355833,d
374.35800444929345,189.45719919326143,d
366.0594716140378,210.19559780853467,d
344.6314867650302,168.4149005313913,d
405.2989867179806,227.2029679119858,d
353.07216464534855,158.89211857994565,d
409.72451585636514,218.4189144371078,d
383.9937393041112,209.89589402447228,d
378.1513142583828,147.03343603696885,d
383.10775316840136,172.14350671574732,d
386.0869953756551,186.33698334686665,d
378.65076378210375,186.6463342951114,d
340.8612100683255,170.06483311625203,d
343.19201453983663,150.02863934367605,d
384.24336279800775,175.82152052303036,d
363.12189708436733,160.0989928664231,d
328.1139376615899,167.62087366231458,d
437.1354173247427,169.38056676444359,d
386.9678982506658,143.01456200574643,d
410.21848302699334,173.8853513749229,d
339.7380300072026,129.1873258331371,d
378.04274561461665,115.48223379980914,d
395.84985990120174,159.2072726244461,d
364.6760804987797,186.45595411922613,d
389.8638496394139,136.68046048798658,d
374.06236358301305,179.38477963268554,d
412.19404769625487,108.44339145317946,d
378.62935531604177,142.91746872535685,d
383.81077525706525,133.25982808409054,d
424.0696794012894,126.3565514460513,d
374.3705323676334,170.767520292786,d
385.47436377375203,116.72744895980077,d
364.13788827560256,111.41060545387597,d
394.71452916079136,133.93010845071552,d
388.4917942874527,119.80577066678245,d
358.87297725940465,120.25020160115685,d
373.2062387489159,177.67511986116955,d
407.88001100580976,128.28549483519703,d
379.9648575773523,150.30523928063405,d
426.5421445618377,152.74114914324446,d
439.9118918358299,171.1730990135406,d
413.20572354411587,144.22043026139926,d
465.36811000009897,125.18208529728281,d
438.1734514874225,122.13833176568318,d
464.15192587749107,125.9143445337782,d
446.9200249190629,152.33927310024433,d
435.6500481895989,126.69910165530507,d
456.77375099676345,127.12043075107141,d
418.89159134035754,143.0794239608668,d
467.0529488426065,129.24110194444557,d
487.0876210659897,84.21678134435018,d
462.2616158950787,123.3366841604763,d
426.1515208558968,134.3368865063681,d
493.94182917254875,109.95238958613692,d
409.405484665687,116.65558551612469,d
504.09176965156433,100.31162941908656,d
534.1040251448627,174.22082298493325,d
484.94375557031077,135.74924002632287,d
391.2255548014431,416.7456561680182,d
320.1513594038871,390.17875098980176,d
307.988185237745,367.8283427818694,d
369.9687779248569,444.5410910165672,d
347.4937731191506,389.1643776100946,d
342.22320105547897,443.6422868843791,d
334.0154906926592,398.7030311967473,d
310.4051729517818,420.7668016693708,d
352.66797910926783,384.1528032402913,d
323.7945913528933,442.87392361375873,d
349.57503678622055,392.21305631406705,d
444.7983700481467,452.1297429084391,d
497.5111043292683,406.73196899196336,d
471.96316044626377,415.0709727863886,d
441.797959946917,402.19481360248176,d
436.254297227763,400.81202664940145,d
465.00680376461435,377.0824165479861,d
461.4910518345444,368.5168038937361,d
449.2765137799277,322.1313408271519,d
465.01487226475155,395.42387376878963,d
448.8970906003195,379.64824825261616,d
434.9142208010671,354.9972561049002,d
437.4253774836151,355.1917330789827,d
448.33852009457615,386.1811065761544,d
288.69331233082266,348.45985792409545,d
304.992820997896,281.1739299740613,d
309.5047648870293,313.1705628944268,d
296.8182483277014,318.8926489237025,d
355.08563722277904,314.8254291708165,d
330.0554556650119,335.2729598725326,d
302.8268465826162,306.9979042252557,d
302.9791140395985,315.28770869178624,d
319.5693301943772,261.1055068471177,d
334.9439083417796,306.32257118323867,d
329.96121348902346,299.32709000441054,d
360.2041310188631,283.17232744696355,d
309.1683873265455,284.0658627062613,d
347.84240812783605,232.40153467917804,d
376.5505640562616,219.45056534671608,d
401.79041654598666,244.4536422717622,d
399.1585211255836,284.51592882880095,d
300.6964470081375,221.34687559948446,d
381.7808214892637,240.09137049228985,d
624.9687057793444,130.23141574138515,d
635.9035503520976,135.8990236395764,d
599.4776531198199,161.9689003098943,d
635.1462693712251,111.37560544749283,d
646.7615333922536,195.62118786165337,d
623.5893524260922,126.31947932990249,d
573.0692036453975,171.28095563429088,d
570.6250222983132,167.81538682125324,d
573.4657706003973,106.06903143021657,d
618.8917517885192,147.44129304549352,d
603.32823660968,123.64377369058815,d
626.3359179698068,130.99928666002313,d
641.0905465056319,175.29618296463963,d
589.8611668141366,121.76475637168511,d
632.6956886060549,105.45079524975785,d
625.1276802268956,151.05687346792558,d
610.0928758339444,117.45432990744894,d
643.1696977875697,35.932301469120205,d
599.0771964091448,106.40956956231923,d
